uniai_app             | 2026-07-18 17:13:45 - [AI] Provider selected provider=gemini model=gemini-3.1-flash-lite
uniai_app             | 2026-07-18 17:13:45 - [AI] Provider initialized successfully provider=gemini model=gemini-3.1-flash-lite
uniai_app             | 2026-07-18 17:13:45 - [PROMPT] Chat system prompt loaded path=prompts/chat-system-prompt.txt size=8963
uniai_app             | 2026-07-18 17:13:45 - [PROMPT] Graduate query interpreter prompt loaded path=prompts/graduate-query-interpreter-prompt.txt size=6515
uniai_app             | 2026-07-18 17:13:45 - [AI_INTERPRETATION] Interpretation initialized provider=gemini maxOutputTokens=250 historyMessageLimit=4
uniai_app             | 2026-07-18 17:13:45 - [PROMPT] Conversation memory updater prompt loaded path=prompts/conversation-memory-updater-prompt.txt size=2040
uniai_app             | 2026-07-18 17:13:45 - [PROMPT] Chat title prompt loaded path=prompts/chat-title-generator-prompt.txt size=441
uniai_app             | 2026-07-18 17:13:45 - [EMAIL_CONFIG] smtpHost=smtp.gmail.com smtpPort=587 authEnabled=true starttlsEnabled=true starttlsRequired=true username=a***@gmail.com usernameLength=22 passwordPresent=true passwordLength=16 passwordContainsWhitespace=false passwordContainsQuotes=false from=a***@gmail.com fromMatchesUsername=true messageKeys=[change-password, two-factor, verify] footerConfigured=true activeProfiles=[dev]
uniai_app             | 2026-07-18 17:13:45 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
uniai_app             | 2026-07-18 17:13:46 - Exposing 3 endpoints beneath base path '/actuator'
uniai_app             | 2026-07-18 17:13:46 - Tomcat started on port 9090 (http) with context path '/'
uniai_app             | 2026-07-18 17:13:46 - Started UniaiApplication in 3.142 seconds (process running for 3.286)
uniai_app             | 2026-07-18 17:13:52 - Initializing Spring DispatcherServlet 'dispatcherServlet'
uniai_app             | 2026-07-18 17:13:52 - Initializing Servlet 'dispatcherServlet'
uniai_app             | 2026-07-18 17:13:52 - Completed initialization in 1 ms
uniai_app             | 2026-07-18 17:14:01 - [PERSISTENCE] Chat saved id=33 userId=1 durationMs=34
uniai_app             | 2026-07-18 17:14:01 - [CHAT] Request received chatId=33 messageLength=33
uniai_app             | 2026-07-18 17:14:01 - [CHAT] Request started userId=1 chatId=33 messageLength=33
uniai_app             | 2026-07-18 17:14:01 - [PERSISTENCE] Message saved id=176 chatId=33 senderId=1 contentLength=33 durationMs=1
uniai_app             | 2026-07-18 17:14:01 - [PERSISTENCE] User message saved id=176 chatId=33 durationMs=1
uniai_app             | 2026-07-18 17:14:01 - [CHAT] History retrieval started chatId=33
uniai_app             | 2026-07-18 17:14:01 - [CHAT] History retrieval completed chatId=33 messageCount=0 durationMs=1
uniai_app             | 2026-07-18 17:14:01 - [CHAT] Recent conversation window prepared chatId=33 windowMessageCount=0
uniai_app             | 2026-07-18 17:14:01 - [AI_INTERPRETATION_BUDGET] Evaluation completed provider=gemini originalEstimatedTokens=1776 finalEstimatedTokens=1776 promptTokens=1629 memoryTokens=10 userTokens=9 historyTokens=0 historyTrimmed=false requestFits=true durationMs=2
